NE_name,country
Lunda Norte,Angola
Lunda Sul,Angola
Malanje,Angola
Bengo,Angola
Cuanza Norte,Angola
Cuanza Sul,Angola
Luanda,Angola
Uíge,Angola
Zaire,Angola
Cabinda,Angola
Bié,Angola
Benguela,Angola
Cuando Cubango,Angola
Cunene,Angola
Huambo,Angola
Huíla,Angola
Moxico,Angola
Namibe,Angola
Cankuzo,Burundi
Karuzi,Burundi
Rutana,Burundi
Ruyigi,Burundi
Bubanza,Burundi
Bururi,Burundi
Cibitoke,Burundi
Gitega,Burundi
Kayanza,Burundi
Makamba,Burundi
Ngozi,Burundi
Kirundo,Burundi
Muyinga,Burundi
Bujumbura Mairie,Burundi
Muramvya,Burundi
Bujumbura Rural,Burundi
Mwaro,Burundi
Borgou,Benin
Alibori,Benin
Collines,Benin
Atlantique,Benin
Littoral,Benin
Kouffo,Benin
Ouémé,Benin
Zou,Benin
Plateau,Benin
Mono,Benin
Atakora,Benin
Donga,Benin
Kompienga,Burkina Faso
Gourma,Burkina Faso
Houet,Burkina Faso
Kénédougou,Burkina Faso
Banwa,Burkina Faso
Kossi,Burkina Faso
Balé,Burkina Faso
Mou Houn,Burkina Faso
Oudalan,Burkina Faso
Soum,Burkina Faso
Nayala,Burkina Faso
Sourou,Burkina Faso
Bam,Burkina Faso
Boulkiemdé,Burkina Faso
Kourwéogo,Burkina Faso
Bazéga,Burkina Faso
Kadiogo,Burkina Faso
Oubritenga,Burkina Faso
Passoré,Burkina Faso
Zondoma,Burkina Faso
Sanguié,Burkina Faso
Sissili,Burkina Faso
Ziro,Burkina Faso
Loroum,Burkina Faso
Yatenga,Burkina Faso
Namentenga,Burkina Faso
Sanmatenga,Burkina Faso
Boulgou,Burkina Faso
Koulpélogo,Burkina Faso
Ganzourgou,Burkina Faso
Kouritenga,Burkina Faso
Nahouri,Burkina Faso
Zoundwéogo,Burkina Faso
Bougouriba,Burkina Faso
Ioba,Burkina Faso
Tuy,Burkina Faso
Léraba,Burkina Faso
Komoé,Burkina Faso
Poni,Burkina Faso
Gnagna,Burkina Faso
Komondjari,Burkina Faso
Séno,Burkina Faso
Yagha,Burkina Faso
Tapoa,Burkina Faso
Noumbiel,Burkina Faso
Ghanzi,Botswana
Kgalagadi,Botswana
North-West,Botswana
Central,Botswana
Kgatleng,Botswana
Kweneng,Botswana
South-East,Botswana
Southern,Botswana
North-East,Botswana
Gaborone,Botswana
Francistown,Botswana
Lobatse,Botswana
Selebi-Phikwe,Botswana
Sowa,Botswana
Jwaneng,Botswana
Bangui,Central African Republic
Ombella-M'Poko,Central African Republic
Basse-Kotto,Central African Republic
Lobaye,Central African Republic
Mambéré-Kadéï,Central African Republic
Sangha-Mbaéré,Central African Republic
Nana-Mambéré,Central African Republic
Ouham-Pendé,Central African Republic
Bamingui-Bangoran,Central African Republic
Nana-Grébizi,Central African Republic
Kémo,Central African Republic
Ouaka,Central African Republic
Ouham,Central African Republic
Vakaga,Central African Republic
Haute-Kotto,Central African Republic
Haut-Mbomou,Central African Republic
Mbomou,Central African Republic
Savanes,Ivory Coast
Denguélé,Ivory Coast
Bafing,Ivory Coast
Dix-Huit Montagnes,Ivory Coast
Worodougou,Ivory Coast
Marahoué,Ivory Coast
Fromager,Ivory Coast
Haut-Sassandra,Ivory Coast
Sud-Bandama,Ivory Coast
Bas-Sassandra,Ivory Coast
Zanzan,Ivory Coast
Vallée du Bandama,Ivory Coast
Agnéby,Ivory Coast
N'zi-Comoé,Ivory Coast
Lagunes,Ivory Coast
Cavally,Ivory Coast
Comoe,Ivory Coast
Lacs,Ivory Coast
Sud-Comoé,Ivory Coast
Extrême-Nord,Cameroon
Littoral,Cameroon
Nord-Ouest,Cameroon
Centre,Cameroon
Est,Cameroon
Adamaoua,Cameroon
Nord,Cameroon
Ouest,Cameroon
Sud-Ouest,Cameroon
Sud,Cameroon
Équateur,Democratic Republic of the Congo
Orientale,Democratic Republic of the Congo
Bandundu,Democratic Republic of the Congo
Kasaï-Occidental,Democratic Republic of the Congo
Bas-Congo,Democratic Republic of the Congo
Kinshasa City,Democratic Republic of the Congo
Sud-Kivu,Democratic Republic of the Congo
Maniema,Democratic Republic of the Congo
Kasaï-Oriental,Democratic Republic of the Congo
Katanga,Democratic Republic of the Congo
Nord-Kivu,Democratic Republic of the Congo
Cuvette-Ouest,Republic of the Congo
Bouenza,Republic of the Congo
Likouala,Republic of the Congo
Sangha,Republic of the Congo
Pool,Republic of the Congo
Cuvette,Republic of the Congo
Kouilou,Republic of the Congo
Lékoumou,Republic of the Congo
Niari,Republic of the Congo
Plateaux,Republic of the Congo
Brazzaville,Republic of the Congo
Pointe Noire,Republic of the Congo
Moûhîlî,Comoros
Andjazîdja,Comoros
Andjouân,Comoros
Brava,Cape Verde
São Filipe,Cape Verde
Mosteiros,Cape Verde
Santa Catarina do Fogo,Cape Verde
Tarrafal,Cape Verde
Santa Catarina,Cape Verde
São Miguel,Cape Verde
Santa Cruz,Cape Verde
São Salvador do Mundo,Cape Verde
São Lourenço dos Órgãos,Cape Verde
São Domingos,Cape Verde
Ribeira Grande de Santiago,Cape Verde
Praia,Cape Verde
Maio,Cape Verde
Boa Vista,Cape Verde
Sal,Cape Verde
Ribeira Brava,Cape Verde
Tarrafal de São Nicolau,Cape Verde
São Vicente,Cape Verde
Porto Novo,Cape Verde
Ribeira Grande,Cape Verde
Paul,Cape Verde
Ali Sabieh,Djibouti
Djibouti,Djibouti
Arta,Djibouti
Dikhil,Djibouti
Obock,Djibouti
Tadjourah,Djibouti
Adrar,Algeria
Aïn Témouchent,Algeria
Oran,Algeria
Sidi Bel Abbès,Algeria
Tlemcen,Algeria
Béchar,Algeria
Naâma,Algeria
Tindouf,Algeria
Annaba,Algeria
El Tarf,Algeria
Jijel,Algeria
Skikda,Algeria
Illizi,Algeria
Tamanghasset,Algeria
El Bayadh,Algeria
